src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.106275
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106307
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106307
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.106380
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106390
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106390
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106390
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.106696
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106721
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106721
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.106831
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106860
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.106921
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106931
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.106931
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.107000
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107013
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107013
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107013
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107013
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.107242
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107272
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107272
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.107332
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107347
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.107624
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107650
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107650
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.107759
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107773
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107773
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.107839
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107852
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107852
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107852
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.107936
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.107950
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.108065
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.108080
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.108080
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.108080
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.108180
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.108194
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.108194
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.108194
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.109887
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.109922
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.109922
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.110050
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110082
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.110146
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110161
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110161
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110161
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.110319
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110338
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110338
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110338
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.110437
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110453
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110453
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.110529
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110542
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.110645
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110661
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110661
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.110747
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.110760
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.110994
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111013
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111013
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111013
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.111140
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111153
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111153
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.111217
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111233
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111233
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111233
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.111312
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111323
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.111438
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111458
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111458
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.111647
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111664
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111664
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.111757
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111772
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111772
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.111867
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111882
10.52.21.225,13.107.137.11,2458,443,TCP,1258,1773567964.111882
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.111968
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111978
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.111978
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.112056
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112067
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112067
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.112302
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112319
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.112402
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112415
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112415
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.112510
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112522
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112522
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.112621
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112642
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112642
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.112727
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112737
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.112737
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.112981
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.113001
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.113001
13.107.137.11,10.52.21.225,443,2458,TCP,54,1773567964.113094
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.113106
10.52.21.225,13.107.137.11,2458,443,TCP,1454,1773567964.113106
